pl_name,hostname,disc_facility,discoverymethod,disc_year,st_teff,st_met,st_rotp,st_mass,st_rad,sy_pnum,sy_snum,sy_dist,survey
TOI-1470 b,TOI-1470,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,3709.0,0.0,29.0,0.471,0.469,2,1,51.9503,TESS
TOI-4342 c,TOI-4342,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,3901.0,,,0.6296,0.599,2,1,61.5204,TESS
TOI-2207 b,TOI-2207,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,6101.0,0.181,,1.296,1.564,1,1,373.345,TESS
TOI-6651 b,TOI-6651,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5940.0,0.225,,1.323,1.721,1,1,212.128,TESS
TOI-908 b,TOI-908,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,5626.0,0.08,21.932,0.95,1.028,1,1,175.748,TESS
TOI-2266 b,TOI-2266,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,3200.0,,,0.23,0.24,1,1,51.6004,TESS
TOI-757 b,TOI-757,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5278.0,-0.27,,0.8,0.78,1,1,60.3418,TESS
TOI-1453 b,TOI-1453,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,4975.0,-0.31,,0.715,0.72,2,2,78.7415,TESS
TOI-1238 b,TOI-1238,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,4089.0,0.31,40.0,0.59,0.58,2,1,70.7145,TESS
TOI-451 c,TOI-451,Transiting Exoplanet Survey Satellite (TESS),Transit,2020,5550.0,,5.1,0.95,0.879,3,2,123.739,TESS
TIC 46432937 b,TIC 46432937,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,3572.0,0.323,,0.563,0.5299,1,1,90.5369,TESS
TOI-1630.01,TOI-1630,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5504.0,,,0.95,0.83,1,1,66.0929,TESS
WASP-18 c,WASP-18,Transiting Exoplanet Survey Satellite (TESS),Transit Timing Variations,2019,6400.0,0.107,,1.22,1.23,2,2,123.483,TESS
TOI-5153 b,TOI-5153,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,6300.0,0.12,,1.24,1.4,1,1,390.484,TESS
LP 714-47 b,LP 714-47,Transiting Exoplanet Survey Satellite (TESS),Transit,2020,3950.0,0.41,33.0,0.59,0.584,1,1,52.616,TESS
TOI-5238 b,TOI-5238,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,5631.0,,,1.0,1.02283,1,1,290.646,TESS
TOI-1710 b,TOI-1710,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,5684.0,0.147,22.5,1.0258,0.9574,1,2,81.2271,TESS
TOI-1899 b,TOI-1899,Transiting Exoplanet Survey Satellite (TESS),Transit,2020,3926.0,0.28,,0.632,0.607,1,1,128.438,TESS
HD 332231 b,HD 332231,Transiting Exoplanet Survey Satellite (TESS),Transit,2020,6128.0,0.043,,1.1642,1.266,1,1,80.6665,TESS
TOI-1199 b,TOI-1199,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5710.0,0.44,23.0,1.23,1.45,1,1,248.427,TESS
TOI-4961 b,TOI-4961,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,5380.0,0.206,,0.912,0.912,1,1,213.073,TESS
TOI-6054.01,TOI-6054,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,6047.0,-0.07,,1.107,1.662,2,1,79.407,TESS
TOI-892 b,TOI-892,Transiting Exoplanet Survey Satellite (TESS),Transit,2020,6261.0,0.24,,1.28,1.39,1,1,340.543,TESS
TOI-5800 b,TOI-5800,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,4850.0,-0.04,,0.778,0.773,1,1,42.9052,TESS
TOI-1739 b,TOI-1739,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,4814.0,0.07,,0.78,0.781,1,1,70.9819,TESS
TIC 88785435 b,TIC 88785435,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,3998.0,-0.08,8.49,0.724,0.911,1,1,122.386,TESS
TOI-4515 b,TOI-4515,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5433.0,0.05,15.5,0.949,0.86,1,1,193.499,TESS
Ross 176 b,Ross 176,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,4041.0,-0.19,33.0,0.577,0.569,1,1,46.4488,TESS
TOI-3540 A b,TOI-3540 A,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,5810.0,0.176,,1.081,1.228,1,2,,TESS
TOI-2803 A b,TOI-2803 A,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,6280.0,-0.105,,1.118,1.245,1,2,494.818,TESS
TOI-1775 b,TOI-1775,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5284.0,0.162,,0.9218,0.8288,1,1,149.234,TESS
TOI-262 b,TOI-262,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,5310.0,0.26,67.0,0.913,0.853,1,1,43.932,TESS
TOI-5713 b,TOI-5713,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,3225.0,-0.03,,0.2653,0.2992,1,1,40.8668,TESS
TOI-2420 b,TOI-2420,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5707.0,,,1.158,2.369,1,1,435.174,TESS
TOI-4184 b,TOI-4184,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,3238.0,-0.27,,0.2109,0.2347,1,1,69.3649,TESS
HD 35843 c,HD 35843,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,5666.0,-0.27,25.49,0.94,0.897,2,1,69.6026,TESS
