hostname,st_teff,st_met,st_mass,st_rad,sy_dist,disc_year,discoverymethod,mission,sy_dist_ly,st_mass_kg,st_rad_m,planet_count,metallicity_class,spectral_type,last_updated,st_teff_norm,st_met_norm,st_mass_norm,st_rad_norm,planet_occurrence_class
Kepler-214,6169.0,-0.02,1.11,1.352,1208.44,2014,Transit,Kepler,3941.3995664,2.207235e+30,940586400.0,2,sub-solar,F,2025-10-29 17:25:48,0.647567928571792,-0.25104191533823406,0.691012202762942,0.7902880412954049,few
Kepler-1297,5818.0,-0.04,0.99,0.99,1439.47,2016,Transit,Kepler,4694.9177732,1.968615e+30,688743000.0,1,sub-solar,G,2025-10-29 17:25:48,0.3273694287480107,-0.37575413902366994,0.19403466480102952,-0.060701179916620336,single
Kepler-1354,6168.0,0.03,1.16,1.24,1119.45,2016,Transit,Kepler,3651.153342,2.3066600000000001e+30,862668000.0,1,solar,F,2025-10-29 17:25:48,0.6466556821335476,0.060738643875355804,0.8980861769137378,0.5269985584894742,single
Kepler-319,5526.0,0.06,0.933,0.903,503.436,2014,Transit,Kepler,1641.9867201599998,1.8552704999999998e+30,628217100.0,3,solar,G,2025-10-29 17:25:48,0.06099346878064855,0.2478069794035097,-0.04202966573087839,-0.26522068888194117,few
Kepler-1427,5793.0,0.06,1.01,1.01,1220.0,2016,Transit,Kepler,3979.1032,2.008385e+30,702657000.0,1,solar,G,2025-10-29 17:25:48,0.30456326779190096,0.2478069794035097,0.27686425446134827,-0.01368520084413273,single
Kepler-1959,5071.0,-0.02,0.768,0.811,479.263,2021,Transit,Kepler,1563.14503028,1.527168e+30,564212700.0,1,sub-solar,K,2025-10-29 17:25:48,-0.3540786606205494,-0.25104191533823406,-0.7253737804285074,-0.4814941926153839,single
Kepler-1897,5165.0,0.02,0.859,0.761,983.174,2021,Transit,Kepler,3206.68099144,1.7081214999999998e+30,529427700.0,1,solar,K,2025-10-29 17:25:48,-0.2683274954255766,-0.001617467967362149,-0.3484991474740577,-0.599034140296603,single
Kepler-1264,5791.0,-0.02,0.99,0.98,801.993,2016,Transit,Kepler,2615.74828908,1.968615e+30,681786000.0,1,sub-solar,G,2025-10-29 17:25:48,0.3027387749154122,-0.25104191533823406,0.19403466480102952,-0.08420916945286414,single
Kepler-452,5757.0,0.21,1.037,1.11,551.727,2015,Transit,Kepler,1799.49071412,2.0620745e+30,772227000.0000001,1,solar,G,2025-10-29 17:25:48,0.2717223960151029,1.183148657044279,0.3886842005027781,0.2213946945183053,single
Kepler-553,5191.0,0.152,0.889,0.902,728.525,2016,Transit,Kepler,2376.127999,1.7677764999999998e+30,627521400.0,2,solar,K,2025-10-29 17:25:48,-0.24460908803122244,0.821483208356515,-0.2242547629835796,-0.26757148783556556,few
Kepler-259,5938.0,-0.09,0.867,0.898,1002.14,2014,Transit,Kepler,3268.5397384,1.7240295e+30,624738600.0,2,sub-solar,G,2025-10-29 17:25:48,0.43683900133733766,-0.6875346982372598,-0.3153673116099302,-0.27697468365006306,few
Kepler-1869,5808.0,-0.06,0.987,0.902,113.025,2023,Transit,Kepler,368.637819,1.9626494999999998e+30,627521400.0,2,sub-solar,G,2025-10-29 17:25:48,0.3182469643655668,-0.5004663627091058,0.1816102263519817,-0.26757148783556556,few
Kepler-240,4985.0,0.41,0.868,0.739,746.927,2014,Transit,Kepler,2436.14722612,1.726018e+30,514122300.0,2,solar,K,2025-10-29 17:25:48,-0.43253185430956703,2.4302708938986384,-0.31122583212691424,-0.6507517172763393,few
